code	value_en	description_en	synonym	chrLocation	chrBand	tissueType	codesystem	description_code
FAM47C	family with sequence similarity 47 member C	Tumour TYPE: melanoma, clear cell sarcoma of soft parts, SCLC	442444,ENSG00000198173,FAM47C,Q5HY64	X:37008411-37011518	Xp21.1	E,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=442444
FANCA	Fanconi anemia, complementation group A		2175,ENSG00000187741,FACA,FANCA,FANCH,O15360	16:89738601-89816615	16q24.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2175
FANCC	Fanconi anemia, complementation group C		2176,ENSG00000158169,FACC,FANCC,Q00597	9:95101707-95249291	9q22.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2176
FANCD2	Fanconi anemia, complementation group D2		2177,ENSG00000144554,FACD,FANCD,FANCD2,Q9BXW9	3:10028658-10098950	3p26	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2177
FANCE	Fanconi anemia, complementation group E		2178,ENSG00000112039,FACE,FANCE,Q9HB96	6:35452546-35466345	6p21-p22	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2178
FANCF	Fanconi anemia, complementation group F		2188,ENSG00000183161,FANCF,Q9NPI8	11:22624686-22625810	11p15	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2188
FANCG	Fanconi anemia, complementation group G		2189,ENSG00000221829,FANCG,O15287,XRCC9	9:35074108-35079524	9p13	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2189
FAS	Fas cell surface death receptor	Tumour TYPE: TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related	355,ALPS1A,APO-1,APT1,CD95,ENSG00000026103,FAS,FAS1,FASTM,P25445,TNFRSF6	10:88990877-89014450	10q24.1	L,E,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=355
FAT1	FAT atypical cadherin 1	Tumour TYPE: oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma	2195,ENSG00000083857,FAT,FAT1,Q14517	4:186588592-186709827	4q35.2	E,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2195
FAT3	FAT atypical cadherin 3	Tumour TYPE: SCC, colon adenocarcinoma, gastric adenocarcinoma	120114,ENSG00000165323,FAT3,Q8TDW7	11:92837714-92891113	11q14.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=120114
FAT4	FAT atypical cadherin 4	Tumour TYPE: lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma	79633,ENSG00000196159,FAT4	4:125316412-125491768	4q28.1	E,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=79633
FBLN2	fibulin 2	Tumour TYPE: breast cancer, colorectal adenocarcinoma	2199,ENSG00000163520,FBLN2,P98095	3:13618090-13637919	3p25.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2199
FBXO11	F-box protein 11	Tumour TYPE: DLBCL	80204,ENSG00000138081,FBXO11,Q86XK2	2:47808118-47839749	2p16.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=80204
FBXW7	F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)	Tumour TYPE: colorectal, endometrial, T-ALL	55294,ENSG00000109670,FBXW7,Q969H0	4:152322881-152411803	4q31.3	E,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=55294
FCGR2B	Fc fragment of IgG, low affinity IIb, receptor for (CD32)	Tumour TYPE: ALL	2213,ENSG00000072694,FCG2,FCGR2,FCGR2B,P31994	1:161663242-161677553	1q23	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2213
FCRL4	Fc receptor-like 4	Tumour TYPE: B-NHL	83417,ENSG00000163518,FCRL4,Q96PJ5	1:157575524-157597944	1q21	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=83417
FEN1	flap structure-specific endonuclease 1		2237,ENSG00000168496,FEN1,P39748,RAD2	11:61795362-61796504	11q12.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2237
FES	FES proto-oncogene, tyrosine kinase	Tumour TYPE: HNSCC, ovarian carcinoma	2242,ENSG00000182511,FES,P07332	15:90885046-90895558	15q26.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2242
FEV	FEV protein - (HSRNAFEV)	Tumour TYPE: Ewing sarcoma	54738,ENSG00000163497,FEV,Q99581	2:218981667-218985075	2q36	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=54738
FGFR1	fibroblast growth factor receptor 1	Tumour TYPE: MPN, NHL, salivary adenoma	2260,ENSG00000077782,FGFR1,FLT2,KAL2,P11362	8:38413628-38457446	8p11.2-p11.1	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2260
FGFR1OP	FGFR1 oncogene partner (FOP)	Tumour TYPE: MPN, NHL	11116,ENSG00000213066,FGFR1OP,O95684	6:166999414-167039979	6q27	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=11116
FGFR2	fibroblast growth factor receptor 2	Tumour TYPE: gastric, NSCLC, endometrial	2263,BEK,CFD1,ENSG00000066468,FGFR2,JWS,KGFR,P21802	10:121479857-121593817	10q26	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2263
FGFR3	fibroblast growth factor receptor 3	Tumour TYPE: bladder, MM, T-cell lymphoma	2261,ACH,ENSG00000068078,FGFR3,P22607	4:1793935-1807262	4p16.3	L,E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2261
FGFR4	fibroblast growth factor receptor 4	Tumour TYPE: rhabdomyosarcoma	2264,ENSG00000160867,FGFR4,P22455	5:177089603-177097676	5q35.2	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2264
FH	fumarate hydratase		2271,ENSG00000091483,FH,P07954	1:241497828-241519722	1q42.1	E,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2271
FHIT	fragile histidine triad gene	Tumour TYPE: pleomorphic salivary gland adenoma	2272,ENSG00000189283,FHIT,P49789	3:59752226-60536962	3p14.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2272
FIP1L1	FIP1 like 1 (S. cerevisiae)	Tumour TYPE: idiopathic hypereosinophilic syndrome	81608,ENSG00000145216,FIP1L1,Q6UN15	4:53377840-53459450	4q12	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=81608
FKBP9	FK506 binding protein 9	Tumour TYPE: glioma	11328,ENSG00000122642,FKBP9,O95302	7:32957574-33005351	7p14.3	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=11328
FLCN	folliculin		201163,ENSG00000154803,FLCN,Q8NFG4	17:17213655-17228137	17p11.2	E,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=201163
FLI1	Friend leukemia virus integration 1	Tumour TYPE: Ewing sarcoma	2313,ENSG00000151702,FLI1,Q01543	11:128694259-128810988	11q24	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2313
FLNA	filamin A	Tumour TYPE: phyllodes tumour of the breast	2316,ENSG00000196924,FLN,FLN1,FLNA,OPD1,OPD2,P21333	X:154348849-154371245	Xq28	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2316
FLT3	fms-related tyrosine kinase 3	Tumour TYPE: AML, ALL	2322,ENSG00000122025,FLT3,P36888	13:28004052-28100510	13q12	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2322
FLT4	fms-related tyrosine kinase 4	Tumour TYPE: soft tissue sarcoma	2324,ENSG00000037280,FLT4,P35916	5:180608281-180649545	5q35.3	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2324
FNBP1	formin binding protein 1 (FBP17)	Tumour TYPE: AML	23048,ENSG00000187239,FNBP1	9:129890539-130042975	9q23	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23048
FOXA1	forkhead box A1	Tumour TYPE: breast, prostate	3169,ENSG00000129514,FOXA1,HNF3A,P55317	14:37591365-37594972	14q12-q13	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3169
FOXL2	forkhead box L2	Tumour TYPE: granulosa-cell tumour of the ovary		3:138945592-138946722	3q23	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=668
FOXO1	forkhead box O1	Tumour TYPE: alveolar rhabdomyosarcoma	2308,ENSG00000150907,FKHR,FOXO1,FOXO1A,Q12778	13:40555680-40666212	13q14.1	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2308
FOXO3	forkhead box O3	Tumour TYPE: AL	2309,ENSG00000118689,FKHRL1,FOXO3,FOXO3A,O43524	6:108561209-108664855	6q21	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2309
FOXO4	forkhead box O4	Tumour TYPE: AL, soft tissue sarcoma	4303,ENSG00000184481,FOXO4,MLLT7,P98177	X:71096529-71102084	Xq13.1	L,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=4303
FOXP1	forkhead box P1	Tumour TYPE: ALL	27086,ENSG00000114861,FOXP1,Q9H334	3:70959247-71198381	3p14.1	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=27086
FOXR1	forkhead box R1	Tumour TYPE: neuroblastoma	283150,ENSG00000176302,FOXR1,Q6PIV2	11:118971932-118981236	11q23.3	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=283150
FSTL3	follistatin-like 3 (secreted glycoprotein)	Tumour TYPE: B-CLL	10272,ENSG00000070404,FSTL3,O95633	19:676425-681709	19p13	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=10272
FUBP1	far upstream element (FUSE) binding protein 1	Tumour TYPE: oligodendroglioma	8880,ENSG00000162613,FUBP,FUBP1,Q96AE4	1:77949146-77979004	1p13.1	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8880
FUS	fusion, derived from t(12						COSMIC	
GAS7	growth arrest-specific 7	Tumour TYPE: AML*	8522,ENSG00000007237,GAS7,O60861	17:9917228-10198390	17p	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8522
GATA1	GATA binding protein 1 (globin transcription factor 1)	Tumour TYPE: megakaryoblastic leukaemia of Downs syndrome	2623,ENSG00000102145,GATA1,GF1,P15976	X:48791110-48794164	Xp11.23	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2623
GATA2	GATA binding protein 2	Tumour TYPE: AML (CML blast transformation)	2624,ENSG00000179348,GATA2,P23769	3:128481019-128487031	3q21.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2624
GATA3	GATA binding protein 3	Tumour TYPE: breast	2625,ENSG00000107485,GATA3,P23771	10:8055656-8074023	10p15	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2625
GLI1	GLI family zinc finger 1	Tumour TYPE: CRC, oesophagus cancer	2735,ENSG00000111087,GLI,GLI1,P08151	12:57463692-57472061	12q13.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2735
GMPS	guanine monphosphate synthetase	Tumour TYPE: AML	8833,ENSG00000163655,GMPS,P49915	3:155870871-155937692	3q24	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8833
GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	Tumour TYPE: uveal melanoma, primary central nervous system melanocytic neoplasms	2767,ENSG00000088256,GNA11,HHC2,P29992	19:3094652-3121179	19p13.3	E,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2767
GNAQ	guanine nucleotide binding protein (G protein), q polypeptide	Tumour TYPE: uveal melanoma, primary central nervous system melanocytic neoplasms	2776,ENSG00000156052,GNAQ,P50148	9:77721323-78031235	9q21	E,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2776
GNAS	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1	Tumour TYPE: pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia		20:58891727-58910829	20q13.2	E,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2778
GOLGA5	golgi autoantigen, golgin subfamily a, 5  (PTC5)	Tumour TYPE: papillary thyroid, Spitzoid tumour	9950,ENSG00000066455,GOLGA5,Q8TBA6	14:92797439-92839447	14q	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=9950
GOPC	golgi associated PDZ and coiled-coil motif containing	Tumour TYPE: glioblastoma, cholangiocarcinoma, borderline ovarian	57120,ENSG00000047932,GOPC,Q9HD26	6:117563254-117602288	6q21	E,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=57120
GPC3	glypican 3		2719,ENSG00000147257,GPC3,P51654,SDYS	X:133536124-133985449	Xq26.1	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2719
GPC5	glypican 5	Tumour TYPE: lung adenocarcinoma	2262,ENSG00000179399,GPC5,P78333	13:91399047-92866439	13q31.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2262
GPHN	gephyrin (GPH)	Tumour TYPE: AL	10243,ENSG00000171723,GPHN,Q9NQX3	14:66508529-67180938	14q24	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=10243
GRIN2A	glutamate receptor, ionotropic, N-methyl D-aspartate 2A	Tumour TYPE: melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma	2903,ENSG00000183454,GRIN2A,NMDAR2A,Q12879	16:9763149-10180411	16p13.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2903
GRM3	glutamate metabotropic receptor 3	Tumour TYPE: melanoma, oral SCC	2913,ENSG00000198822,GRM3,Q14832	7:86765146-86864355	7q21.11-q21.12	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2913
H3F3A	H3 histone, family 3A	Tumour TYPE: glioma	3020,ENSG00000163041,H3F3,H3F3A,P84243	1:226064352-226071479	1q42.12	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3020
H3F3B	H3 histone, family 3B (H3.3B)	Tumour TYPE: chondroblastoma	3020,ENSG00000132475,H3F3B,P84243	17:75778595-75779174	17q25.1	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3021
HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	Tumour TYPE: prostate	9709,ENSG00000051108,HERPUD1,Q15011	16:56932245-56943290	16q12.2-q13	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=9709
HEY1	hairy/enhancer-of-split related with YRPW motif 1	Tumour TYPE: mesenchymal chondrosarcoma	23462,ENSG00000164683,HEY1,Q9Y5J3	8:79765188-79767663	8q21	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23462
HIF1A	hypoxia inducible factor 1 alpha subunit	Tumour TYPE: endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic	3091,ENSG00000100644,HIF1A,Q16665	14:61695805-61747085	14q23.2	E,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3091
HIP1	huntingtin interacting protein 1	Tumour TYPE: CMML, NSCLC	3092,ENSG00000127946,HIP1,O00291	7:75538172-75738920	7q11.23	L,E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3092
HIST1H3B	histone cluster 1, H3b	Tumour TYPE: glioma	8350,ENSG00000124693,H3FL,HIST1H3B,P68431	6:26031650-26032060	6p22.1	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8358
HIST1H4I	histone 1, H4i (H4FM)	Tumour TYPE: NHL		6:27107089-27107660	6p21.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8294
HLA-A	major histocompatibility complex, class I, A	Tumour TYPE: Spitzoid tumour	3105,ENSG00000206503,HLA-A,P04439	6:29942554-29945455	6p21.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3105
HLF	hepatic leukemia factor	Tumour TYPE: ALL	3131,ENSG00000108924,HLF,Q16534	17:55265486-55320880	17q22	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3131
HMGA1	high mobility group AT-hook 1	Tumour TYPE: microfollicular thyroid adenoma, various benign mesenchymal tumours	3159,ENSG00000137309,HMGA1,HMGIY,P17096	6:34240781-34244884	6p21	E,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3159
HMGA2	high mobility group AT-hook 2 (HMGIC)	Tumour TYPE: lipoma, leiomyoma, pleomorphic salivary gland adenoma	8091,ENSG00000149948,HMGA2,HMGIC,P52926	12:65825271-65963292	12q15	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8091
HMGN2P46	high mobility group nucleosomal binding domain 2 pseudogene 46	Tumour TYPE: prostate		###############################################################################################################################################################################################################################################################	15q21.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=283651
HNF1A	HNF1 homeobox A	Tumour TYPE: hepatic adenoma, hepatocellular	6927,ENSG00000135100,HNF1A,MODY3,TCF1	12:120978769-121001192	12q24.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=6927
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	Tumour TYPE: prostate	3181,ENSG00000122566,HNRNPA2B1,HNRPA2B1,P22626	7:26190125-26200577	7p15	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3181
HOOK3	hook homolog 3	Tumour TYPE: papillary thyroid	84376,ENSG00000168172,HOOK3,Q86VS8	8:42897132-43018498	8p11.21	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=84376
HOXA11	homeo box A11	Tumour TYPE: CML	3207,ENSG00000005073,HOX1,HOX1I,HOXA11,P31270	7:27182796-27185144	7p15-p14.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3207
HOXA13	homeo box A13	Tumour TYPE: AML	3209,ENSG00000106031,HOX1,HOX1J,HOXA13,P31271	7:27198198-27200077	7p15-p14.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3209
HOXA9	homeo box A9	Tumour TYPE: AML*	3205,ENSG00000078399,HOX1,HOX1G,HOXA9,P31269	7:27163603-27165457	7p15-p14.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3205
HOXC11	homeo box C11	Tumour TYPE: AML	3227,ENSG00000123388,HOX3H,HOXC11,O43248	12:53973243-53975414	12q13.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3227
HOXC13	homeo box C13	Tumour TYPE: AML	3229,ENSG00000123364,HOX3,HOX3G,HOXC13,P31276	12:53938908-53945257	12q13.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3229
HOXD11	homeo box D11	Tumour TYPE: AML	3237,ENSG00000128713,HOX4,HOX4F,HOXD11,P31277	2:176107357-176109143	2q31-q32	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3237
HOXD13	homeo box D13	Tumour TYPE: AML*	3239,HOX4I,HOXD13,P35453,SPD	2:176092916-176094731	2q31-q32	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3239
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	Tumour TYPE: infrequent sarcomas, rare other tumour types	3265,ENSG00000174775,HRAS,HRAS1,P01112	11:532636-534322	11p15.5	E,L,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3265
HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	Tumour TYPE: NHL	3320,ENSG00000080824,HSP90AA1,HSPC1,HSPCA,P07900	14:102081712-102139404	14q32.33	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3320
HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	Tumour TYPE: NHL	3326,ENSG00000096384,HSP90AB1,HSPC2,HSPCB,P08238	6:44248630-44253598	6p12	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3326
ID3	inhibitor of DNA binding 3, HLH protein	Tumour TYPE: Burkitt lymphoma	3399,ENSG00000117318,ID3,Q02535	1:23558960-23559426	1p36.12	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3399
IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	Tumour TYPE: glioblastoma	3417,ENSG00000138413,IDH1,O75874	2:208237079-208251551	2q33.3	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3417
IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	Tumour TYPE: glioblastoma	3418,ENSG00000182054,IDH2,P48735	15:90084266-90102390	15q26.1	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3418
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	Tumour TYPE: lymphoma	10644,ENSG00000073792,IGF2BP2,Q9Y6M1	3:185645531-185824960	3q27.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=10644
IGH	immunoglobulin heavy locus	Tumour TYPE: MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS		###############################################################################################################################################################################################################################################################	14q32.33	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3492
IGK	immunoglobulin kappa locus	Tumour TYPE: Burkitt lymphoma, B-NHL		###############################################################################################################################################################################################################################################################	2p12	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=50802
IGL	immunoglobulin lambda locus	Tumour TYPE: Burkitt lymphoma		###############################################################################################################################################################################################################################################################	22q11.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3535
IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	Tumour TYPE: SMZL	3551,ENSG00000104365,IKBKB,O14920	8:42272100-42330979	8p11.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3551
IKZF1	IKAROS family zinc finger 1	Tumour TYPE: ALL, DLBCL	10320,ENSG00000185811,IKZF1,Q13422,ZNFN1A1	7:50319062-50400628	7p12.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=10320
IL2	interleukin 2	Tumour TYPE: intestinal T-cell lymphoma	3558,ENSG00000109471,IL2,P60568	4:122451752-122456440	4q26-q27	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3558
IL21R	interleukin 21 receptor	Tumour TYPE: NHL	50615,ENSG00000103522,IL21R,Q9HBE5	16:27430073-27449284	16p11	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=50615
IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	Tumour TYPE: hepatocellular carcinoma	3572,ENSG00000134352,IL6ST,P40189	5:55941082-55976278	5q11	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3572
IL7R	interleukin 7 receptor	Tumour TYPE: ALL, ETP ALL	3575,ENSG00000168685,IL7R,P16871	5:35856978-35876486	5p13	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3575
IRF4	interferon regulatory factor 4	Tumour TYPE: MM	3662,ENSG00000137265,IRF4,MUM1,Q15306	6:393154-407599	6p25-p23	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3662
IRS4	insulin receptor substrate 4	Tumour TYPE: glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL	8471,ENSG00000133124,IRS4,O14654	X:108732571-108736344	Xq22.3	E,O,M,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8471
ISX	intestine specific homeobox	Tumour TYPE: melanoma	91464,ENSG00000175329,ISX,Q2M1V0	22:35067088-35085693	22q12.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=91464
ITGAV	integrin subunit alpha V	Tumour TYPE: large intestine carcinoma	3685,ENSG00000138448,ITGAV,MSK8,P06756,VNRA,VTNR	2:186590339-186677292	2q32.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3685
ITK	IL2-inducible T-cell kinase	Tumour TYPE: peripheral T-cell lymphoma	3702,ENSG00000113263,ITK,Q08881	5:157180978-157252678	5q31-q32	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3702
JAK1	Janus kinase 1	Tumour TYPE: ALL	3716,ENSG00000162434,JAK1,JAK1B,P23458	1:64834562-64886264	1p32.3-p31.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3716
JAK2	Janus kinase 2	Tumour TYPE: ALL, AML, MPN,  CML	3717,ENSG00000096968,JAK2,O60674	9:5021988-5126791	9p24	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3717
JAK3	Janus kinase 3	Tumour TYPE: acute megakaryocytic leukaemia, ETP ALL	3718,ENSG00000105639,JAK3,P52333	19:17826743-17844417	19p13.1	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3718
JAZF1	juxtaposed with another zinc finger gene 1	Tumour TYPE: endometrial stromal tumour	221895,ENSG00000153814,JAZF1,Q86VZ6	7:27832800-28180577	7p15.2-p15.1	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=221895
JUN	jun oncogene	Tumour TYPE: sarcoma	3725,ENSG00000177606,JUN,P05412	1:58782075-58783070	1p32-p31	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3725
KAT6A	K(lysine) acetyltransferase 6A	Tumour TYPE: AML		###############################################################################################################################################################################################################################################################	8p11	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=7994
KAT6B	K(lysine) acetyltransferase 6B	Tumour TYPE: AML, leiomyoma	23522,ENSG00000156650,KAT6B,MYST4,Q8WYB5	10:74842858-75031046	10q22.2	L,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23522
KAT7	lysine acetyltransferase 7	Tumour TYPE: CCRCC	11143,ENSG00000136504,KAT7,MYST2,O95251	17:49788835-49827502	17q21.33	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=11143
KCNJ5	potassium inwardly-rectifying channel						COSMIC	
KDM5A	lysine (K)-specific demethylase 5A, JARID1A	Tumour TYPE: AML	5927,ENSG00000073614,JARID1A,KDM5A,RBBP2	12:285456-389091	12p11	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=5927
KDM5C	lysine (K)-specific demethylase 5C (JARID1C)	Tumour TYPE: clear cell renal carcinoma	8242,ENSG00000126012,JARID1C,KDM5C,MRX13,P41229,SMCX	X:53192967-53224889	Xp11.22-p11.21	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8242
KDM6A	lysine (K)-specific demethylase 6A, UTX	Tumour TYPE: renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types	7403,ENSG00000147050,KDM6A,O15550,UTX	X:44873552-45111411	Xp11.2	E,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=7403
KDR	vascular endothelial growth factor receptor 2	Tumour TYPE: NSCLC, angiosarcoma	3791,ENSG00000128052,KDR,P35968	4:55079941-55125293	4q11-q12	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3791
KDSR	3-ketodihydrosphingosine reductase	Tumour TYPE: B-NHL	2531,ENSG00000119537,FVT1,KDSR,Q06136	18:63331782-63367118	18q21.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2531
KEAP1	kelch like ECH associated protein 1	Tumour TYPE: NSCLC, breast carcinoma	9817,ENSG00000079999,KEAP1,Q14145	19:10486652-10500033	19p13.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=9817
KIAA1549	KIAA1549	Tumour TYPE: pilocytic astrocytoma	57670,ENSG00000122778,KIAA1549	7:138837906-138919418	7q34	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=57670
