id	gene	label	synonym	chrLocation	refSeqId	locusType	linkPubmed	linkEnsembl
HGNC:28883	PPA2	pyrophosphatase (inorganic) 2	FLJ20459	4q25	NM_001034191	gene with protein product	11042152	ENSG00000138777
HGNC:26617	MLKL	mixed lineage kinase domain-like	FLJ34389	16q22.3	NM_001142497	gene with protein product	12477932	ENSG00000168404
HGNC:10936	SLC18A3	solute carrier family 18 (vesicular acetylcholine), member 3	VACHT	10q11.2	NM_003055	gene with protein product	8071310	ENSG00000187714
HGNC:9607	PTHLH	parathyroid hormone-like hormone	PTHR|PLP|PTHRP|HHM	12p12.1-p11.2	NM_002820	gene with protein product	2708388	ENSG00000087494
HGNC:37545	PIRC41	piwi-interacting RNA cluster 41	NA	9	NA	RNA, cluster	17881367	NA
HGNC:32428	EIF4EP2	eukaryotic translation initiation factor 4E pseudogene 2	NA	17q21.32	NA	pseudogene	NA	NA
HGNC:16012	ASB2	ankyrin repeat and SOCS box-containing 2	ASB-2	14q31-q32	NM_016150	gene with protein product	NA	ENSG00000100628
HGNC:9950	RECQL5	RecQ protein-like 5	FLJ90603|RecQ5	17q25	NM_001003715	gene with protein product	9878247	ENSG00000108469
HGNC:36870	RPLP1P3	ribosomal protein, large, P1 pseudogene 3	NA	1q24.3	NG_010637	pseudogene	19123937	NA
HGNC:7682	NDST3	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3	HSST3	4q26	NM_004784	gene with protein product	9915799	ENSG00000164100
HGNC:37947	FGFR3P2	fibroblast growth factor receptor 3 pseudogene 2	NA	11q21	NG_021799	pseudogene	NA	NA
HGNC:33580	CT45B1P	cancer/testis antigen family 45, member B1 pseudogene	NA	5q21.3	NG_016473	pseudogene	15905330	NA
HGNC:29561	ARV1	ARV1 homolog (S. cerevisiae)	NA	1q42.2	NM_022786	gene with protein product	11063737, 12145310	ENSG00000173409
HGNC:31314	OR7H2P	olfactory receptor, family 7, subfamily H, member 2 pseudogene	NA	5	NG_004438	pseudogene	NA	NA
HGNC:4086	GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1	NA	4p12	NM_173536	gene with protein product	1321425	ENSG00000163285
HGNC:18969	IL31RA	interleukin 31 receptor A	CRL3|CRL|Glmr|GLM-R|IL-31RA	5q11.2	NM_139017	gene with protein product	15184896, 11877449	ENSG00000164509
HGNC:33533	BRI3P1	brain protein I3 pseudogene 1	NA	1p21.2	NG_009718	pseudogene	NA	ENSG00000225169
HGNC:13517	CLIC5	chloride intracellular channel 5	NA	6p12.3	NM_001114086	gene with protein product	10793131	ENSG00000112782
HGNC:11924	TNFRSF9	tumor necrosis factor receptor superfamily, member 9	CD137|4-1BB	1p36	NM_001561	gene with protein product	8262389, 8639902	ENSG00000049249
HGNC:14818	OR5M7P	olfactory receptor, family 5, subfamily M, member 7 pseudogene	NA	11	NG_004149	pseudogene	NA	NA
HGNC:25123	PKDCC	protein kinase domain containing, cytoplasmic homolog (mouse)	SgK493|Vlk	2p21	NM_138370	gene with protein product	19097194, 19465597	ENSG00000162878
HGNC:3433	ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	NA	19q13.32	NM_001166049	gene with protein product	6462228	ENSG00000012061
HGNC:9494	PRTH	pituitary resistance to thyroid hormone	NA	reserved	NA	phenotype only	NA	NA
HGNC:25540	ARHGEF10L	Rho guanine nucleotide exchange factor (GEF) 10-like	KIAA1626|FLJ10521	1p36.13	NM_001011722	gene with protein product	10997877, 16112081	ENSG00000074964
HGNC:1616	CCT3	chaperonin containing TCP1, subunit 3 (gamma)	Cctg	1q23	NM_001008800	gene with protein product	8110840	ENSG00000163468
HGNC:38659	CBX5P1	chromobox homolog 5 pseudogene 1	NA	3p11.1	NG_007668	pseudogene	NA	NA
HGNC:22978	KDM4A	lysine (K)-specific demethylase 4A	KIAA0677|JHDM3A	1p34.1	NM_014663	gene with protein product	9734811, 15138608	ENSG00000066135
HGNC:3798	FOSL2	FOS-like antigen 2	FLJ23306|FRA2	2p23.3	NM_005253	gene with protein product	NA	ENSG00000075426
HGNC:3282	EIF4A1	eukaryotic translation initiation factor 4A1	EIF-4A|DDX2A	17p13	NM_001416	gene with protein product	8493113, 9790779	ENSG00000161960
HGNC:2957	DNASE1L1	deoxyribonuclease I-like 1	XIB|DNASEX|DNAS1L1	Xq28	NM_001009932	gene with protein product	8541839, 8654957	ENSG00000013563
HGNC:950	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	hucep-6|KIAA0272|UCHL2	3p21.31-p21.2	NM_004656	gene with protein product	9528852	ENSG00000163930
HGNC:4249	GGPS1	geranylgeranyl diphosphate synthase 1	GGPPS1	1q43	NM_001037277	gene with protein product	9741684, 10101267	ENSG00000152904
HGNC:13291	GABARAPL2	GABA(A) receptor-associated protein-like 2	GEF2|GATE-16|GATE16|ATG8|ATG8C	16q22.1	NM_007285	gene with protein product	11414770	ENSG00000034713
HGNC:6562	LGALS2	lectin, galactoside-binding, soluble, 2	HL14	22q13.1	NM_006498	gene with protein product	1988031, 15356130	ENSG00000100079
HGNC:9127	PMS2L2	postmeiotic segregation increased 2-like 2 pseudogene	PMS4	7q11.23	NR_003614	pseudogene	8586419	ENSG00000174384
HGNC:3902	FRA4C	fragile site, aphidicolin type, common, fra(4)(q31.1)	NA	4q31.1	NA	fragile site	NA	NA
HGNC:30209	PCP2	Purkinje cell protein 2	GPSM4|MGC41903	19p13.3	NM_174895	gene with protein product	12477932	ENSG00000174788
HGNC:36823	RPL34P24	ribosomal protein L34 pseudogene 24	NA	11p15.5-p14	NG_011059	pseudogene	19123937	NA
HGNC:12196	TRBV20-1	T cell receptor beta variable 20-1	TCRBV20S1|TRBV201|TCRBV2S1	7q34	NG_001333	T cell receptor gene	8650574	ENSG00000211747
HGNC:9634	PTP4A1	protein tyrosine phosphatase type IVA, member 1	PTPCAAX1|PRL-1	6q12	NM_003463	gene with protein product	9642300	ENSG00000112245
HGNC:12149	TRAV8-4	T cell receptor alpha variable 8-4	NA	14q11.2	NG_001332	T cell receptor gene	8188290	NA
HGNC:25559	C12orf35	chromosome 12 open reading frame 35	FLJ10652|FLJ20696	12p11.21	NM_018169	gene with protein product	10997877	ENSG00000174718
HGNC:35882	RPL36AP34	ribosomal protein L36a pseudogene 34	NA	9p21	NG_010808	pseudogene	19123937	NA
HGNC:2488	NKX2-5	NK2 transcription factor related, locus 5 (Drosophila)	CSX1|NKX2.5|NKX4-1	5q34	NM_001166175	gene with protein product	7665173, 8900537	ENSG00000183072
HGNC:14948	WBSCR16	Williams-Beuren syndrome chromosome region 16	NA	7q11.23	NM_030798	gene with protein product	12073013	ENSG00000174374
HGNC:29691	MRP63P8	mitochondrial ribosomal protein 63 pseudogene 8	NA	14q13.2	NG_002848	pseudogene	12706105	NA
HGNC:25296	FAM186B	family with sequence similarity 186, member B	DKFZP434J0113	12q13.12	NM_032130	gene with protein product	11230166	ENSG00000135436
HGNC:1109	BRI3	brain protein I3	NA	7q21.3	NM_001159491	gene with protein product	14592447	ENSG00000164713
HGNC:33663	MIR873	microRNA 873	hsa-mir-873	9p21.1	NR_030618	RNA, micro	NA	ENSG00000215939
HGNC:23077	OTUB1	OTU domain, ubiquitin aldehyde binding 1	FLJ40710|FLJ20113	11q13.1	NM_017670	gene with protein product	12704427	ENSG00000167770
HGNC:8134	OMD	osteomodulin	osteoadherin|SLRR2C	9q22.31	NM_005014	gene with protein product	NA	ENSG00000127083
HGNC:20016	HMGN2L2	high-mobility group nucleosomal binding domain 2-like 2	NA	14q31.1	NG_002460	pseudogene	NA	NA
HGNC:8486	OR9A1P	olfactory receptor, family 9, subfamily A, member 1 pseudogene	HSHTPCRX06|HTPCRX06	7	NG_002195	pseudogene	1370859	ENSG00000237621
HGNC:35645	RPL37AP8	ribosomal protein L37a pseudogene 8	NA	11q23.1	NG_011253	pseudogene	19123937	ENSG00000176343
HGNC:35382	MIR1538	microRNA 1538	hsa-mir-1538	16	NR_031719	RNA, micro	NA	NA
HGNC:17010	NUPL2	nucleoporin like 2	CG1|NLP_1|H_RG271G13.9|hCG1	7p15	NM_007342	gene with protein product	10358091, 9450185	ENSG00000136243
HGNC:33426	GGTLC3	gamma-glutamyltransferase light chain 3	NA	22q11.21	NG_011826	gene with protein product	18357469	ENSG00000183038
HGNC:2438	CSF3	colony stimulating factor 3 (granulocyte)	MGC45931	17q11.2-q12	NM_000759	gene with protein product	3499671, 3501046	ENSG00000108342
HGNC:16667	TMEM30A	transmembrane protein 30A	FLJ10856|CDC50A	6q14.1	NM_001143958	gene with protein product	15375526	ENSG00000112697
HGNC:18886	TAS2R39	taste receptor, type 2, member 39	NA	7q34	NM_176881	gene with protein product	12379855	ENSG00000236398
HGNC:3270	EIF3J	eukaryotic translation initiation factor 3, subunit J	eIF3-p35|eIF3j|eIF3-alpha	15q21.1	NM_003758	gene with protein product	9822659	ENSG00000104131
HGNC:2945	DNAH14	dynein, axonemal, heavy chain 14	HL18|Dnahc14|MGC27277|DKFZp781B1548|HL-18	1q42.13	NM_001145154	gene with protein product	8812413	ENSG00000185842
HGNC:15992	ZNF341	zinc finger protein 341	dJ553F4.3	20	NM_032819	gene with protein product	NA	ENSG00000131061
HGNC:33163	GLC1N	glaucoma 1, open angle, N (juvenile-onset)	NA	15q22-q24	NA	phenotype only	17122119	NA
HGNC:9444	PRKY	protein kinase, Y-linked	NA	Yp11.2	NM_002760	gene with protein product	7633447	ENSG00000099725
HGNC:13726	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	KMT2C|HALR|KIAA1506	7q36	NM_170606	gene with protein product	10819331	ENSG00000055609
HGNC:15945	CELA3B	chymotrypsin-like elastase family, member 3B	CBPP	1p36.12	NM_007352	gene with protein product	2826474, 2460440	ENSG00000219073
HGNC:15366	OR7K1P	olfactory receptor, family 7, subfamily K, member 1 pseudogene	NA	14	NG_004167	pseudogene	NA	NA
HGNC:26117	HECTD3	HECT domain containing 3	FLJ21156	1p34.1	NM_024602	gene with protein product	12477932	ENSG00000126107
HGNC:8966	PIGL	phosphatidylinositol glycan anchor biosynthesis, class L	NA	17p12-p11.2	NM_004278	gene with protein product	10085243	ENSG00000108474
HGNC:28336	TCEAL7	transcription elongation factor A (SII)-like 7	MGC23947	Xq22.1	NM_152278	gene with protein product	14702039	ENSG00000182916
HGNC:12918	ZNF134	zinc finger protein 134	pHZ-15	19q13.4	NM_003435	gene with protein product	7557990	ENSG00000213762
HGNC:36703	RPL5P33	ribosomal protein L5 pseudogene 33	NA	17q21.33	NG_010584	pseudogene	19123937	NA
HGNC:23223	DFNB44	deafness, autosomal recessive 44	NA	7p14.1-q11.22	NA	phenotype only	15583425	NA
HGNC:14831	OR8K1	olfactory receptor, family 8, subfamily K, member 1	NA	11q11	NM_001002907	gene with protein product	NA	ENSG00000150261
HGNC:7176	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	NA	20q12-q13	NM_004994	gene with protein product	2158484	ENSG00000100985
HGNC:27997	PRAMEF10	PRAME family member 10	NA	1p36.21	NM_001039361	gene with protein product	NA	ENSG00000187545
HGNC:22282	TCEAL5	transcription elongation factor A (SII)-like 5	NA	Xq22.2	NM_001012979	gene with protein product	NA	ENSG00000204065
HGNC:22235	KCTD6	potassium channel tetramerisation domain containing 6	MGC27385	3p21.2	NM_001128214	gene with protein product	12477932	ENSG00000168301
HGNC:1471	CAMLG	calcium modulating ligand	CAML	5q23	NM_001745	gene with protein product	8824814	ENSG00000164615
HGNC:20063	USP37	ubiquitin specific peptidase 37	KIAA1594	2q35	NM_020935	gene with protein product	12838346	ENSG00000135913
HGNC:22991	ADH5P3	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 3	NA	1q43	NG_008686	pseudogene	NA	ENSG00000223694
HGNC:36496	RPS6P18	ribosomal protein S6 pseudogene 18	NA	12p13.3	NG_010164	pseudogene	19123937	NA
HGNC:34277	RNU6-33	RNA, U6 small nuclear 33	NA	4	NA	RNA, small nuclear	NA	NA
HGNC:8499	ORM2	orosomucoid 2	AGP-B'|AGP2|AGP-B	9q31-qter	NM_000608	gene with protein product	4711474, 2970990	ENSG00000228278
HGNC:6372	KLRA1	killer cell lectin-like receptor subfamily A, member 1, pseudogene	Ly49|LY49L	12p13.2	NM_006611	pseudogene	9645365	NA
HGNC:5509	IGHD5-18	immunoglobulin heavy diversity 5-18	IGHD518	14q32.32-q32.33	NG_001019	immunoglobulin gene	3138112	ENSG00000211915
HGNC:23910	XKRYP3	XK, Kell blood group complex subunit-related, Y-linked pseudogene 3	NA	Yq11.223	NG_004755	pseudogene	12815422	NA
HGNC:17762	TCEB1P2	transcription elongation factor B (SIII), polypeptide 1 pseudogene 2	NA	15q15.1	NG_003219	pseudogene	NA	NA
HGNC:33599	DEFT1P2	defensin, theta 1 pseudogene 2	NA	8p23.1	XM_002342815	pseudogene	15944200, 17214878	NA
HGNC:19618	OR7E145P	olfactory receptor, family 7, subfamily E, member 145 pseudogene	NA	11q13.4	NG_004336	pseudogene	NA	NA
HGNC:36114	RPL39P27	ribosomal protein L39 pseudogene 27	NA	12p12.1	NG_010530	pseudogene	19123937	NA
HGNC:17183	ASB8	ankyrin repeat and SOCS box-containing 8	FLJ21255|MGC5540	12q13.12	NM_024095	gene with protein product	12076535	ENSG00000177981
HGNC:592	XIAP	X-linked inhibitor of apoptosis	hILP	Xq25	NM_001167	gene with protein product	8552191, 8654366	ENSG00000101966
HGNC:31959	GAGE2D	G antigen 2D	GAGE8	Xp11.23	NM_001098407	gene with protein product	NA	ENSG00000240257
HGNC:17136	FTSJ3	FtsJ homolog 3 (E. coli)	NA	17q23	NM_017647	gene with protein product	NA	ENSG00000108592
HGNC:14242	IBD7	inflammatory bowel disease 7	NA	1p36	NA	phenotype only	10814724, 9636179	NA
HGNC:18504	FCRLA	Fc receptor-like A	FCRLa|FCRLc2|MGC4595|FCRLX|FCRLc1|FREB|FCRLe|FCRLb|FCRL|FCRLd	1q23.3	NM_001184866	gene with protein product	11754007	ENSG00000132185
HGNC:16911	MYCNOS	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian) opposite strand	NCYM	2p24.1	NR_026766	gene with protein product	1419902, 12880964	ENSG00000233718
HGNC:3748	FLG	filaggrin	NA	1q21.3	NM_002016	gene with protein product	2740331, 2248957, 16444271	ENSG00000143631
HGNC:3232	MEGF6	multiple EGF-like-domains 6	NA	1p36.3	NM_001409	gene with protein product	9693030	ENSG00000162591
HGNC:23396	PHYHD1	phytanoyl-CoA dioxygenase domain containing 1	MGC16638	9q34.13	NM_001100876	gene with protein product	12477932	ENSG00000175287
HGNC:31763	MIR302B	microRNA 302b	hsa-mir-302b	4q25	NR_029857	RNA, micro	NA	ENSG00000199058
HGNC:21177	C6orf97	chromosome 6 open reading frame 97	FLJ23305|bA282P11.1	6q25.1	NM_025059	gene with protein product	NA	ENSG00000120262
HGNC:34901	TRNAE20	transfer RNA glutamic acid 20 (anticodon UUC)	NA	13	NA	RNA, transfer	NA	NA
HGNC:28466	POLR3GL	polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like	MGC3200|flj32422	1q21.1	NM_032305	gene with protein product	12477932	ENSG00000121851
HGNC:12785	WNT6	wingless-type MMTV integration site family, member 6	NA	2q35	NM_006522	gene with protein product	10343101, 11350055	ENSG00000115596
HGNC:7001	MEIS2	Meis homeobox 2	MRG1|HsT18361	15q14	NM_002399	gene with protein product	9383298	ENSG00000134138
HGNC:10566	SCAND1	SCAN domain containing 1	RAZ1|SDP1	20q11.1-q11.23	NM_016558	gene with protein product	10777584, 10747874, 12444922	ENSG00000171222
HGNC:10810	SGK1	serum/glucocorticoid regulated kinase 1	NA	6q23	NM_001143676	gene with protein product	9114008, 9722955	ENSG00000118515
HGNC:5031	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	hnRNPA1|hnRNP-A1	12q13.1	NM_002136	gene with protein product	1733858	ENSG00000135486
HGNC:28710	ZNF843	zinc finger protein 843	MGC46336	16p11.2	NM_001136509	gene with protein product	12477932	ENSG00000176723
HGNC:4706	GYS1	glycogen synthase 1 (muscle)	GSY	19q13.3	NM_001161587	gene with protein product	NA	ENSG00000104812
HGNC:18124	P2RY12	purinergic receptor P2Y, G-protein coupled, 12	HORK3|P2Y12|SP1999	3q24-q25	NM_022788	gene with protein product	11502873, 11104774	ENSG00000169313
HGNC:2591	CYP11B1	cytochrome P450, family 11, subfamily B, polypeptide 1	CPN1|P450C11|FHI	8q21-q22	NM_000497	gene with protein product	1303253	ENSG00000160882
HGNC:38552	ANP32BP2	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B pseudogene 2	NA	22q13.31	NG_022880	pseudogene	NA	NA
HGNC:28229	LLPH	LLP homolog, long-term synaptic facilitation (Aplysia)	hLLP|MGC14817	12q14.3	NM_032338	gene with protein product	12477932	ENSG00000139233
HGNC:12548	UGT2B24P	UDP glucuronosyltransferase 2 family, polypeptide B24 pseudogene	NA	4q13	NG_001282	pseudogene	10623541	NA
HGNC:27291	C19orf59	chromosome 19 open reading frame 59	MCEMP1|MGC132456	19p13.2	NM_174918	gene with protein product	15953541	ENSG00000183019
HGNC:14767	OR5H6	olfactory receptor, family 5, subfamily H, member 6	NA	3q12.1	NM_001005479	gene with protein product	NA	ENSG00000230301
HGNC:31263	OR4A44P	olfactory receptor, family 4, subfamily A, member 44 pseudogene	NA	11	NG_004415	pseudogene	NA	NA
HGNC:16986	LMAN2	lectin, mannose-binding 2	VIP36|GP36B	5q35	NM_006816	gene with protein product	12609988	ENSG00000169223
HGNC:2755	DEDD	death effector domain containing	FLDED1|DEFT|KE05|DEDD1|CASP8IP1	1q23.1	NM_001039711	gene with protein product	9774341, 9832420	ENSG00000158796
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	BEM46L3	14q21.3	NM_181533	gene with protein product	NA	ENSG00000131969
HGNC:34401	C12orf69	chromosome 12 open reading frame 69	LOC440087	12p12.3	NM_001013698	gene with protein product	NA	ENSG00000179256
HGNC:9254	PPIAP1	peptidylprolyl isomerase A (cyclophilin A), pseudogene 1	NA	21q21.1	NG_000914	pseudogene	NA	ENSG00000215351
HGNC:6360	KLK12	kallikrein-related peptidase 12	KLK-L5	19q13.33	NM_019598	gene with protein product	16800724, 16800723	ENSG00000186474
HGNC:28210	FAM83A	family with sequence similarity 83, member A	MGC14128|BJ-TSA-9	8q24.13	NM_032899	gene with protein product	12477932	ENSG00000147689
HGNC:3558	FABP3P2	fatty acid binding protein 3, pseudogene 2	FABP3P|FABP3-ps	13q13-q14	NG_001286	pseudogene	9256083	ENSG00000233259
HGNC:27867	H2BFM	H2B histone family, member M	NA	Xq22.2	XM_001714135	gene with protein product	NA	ENSG00000101812
HGNC:4390	GNAQ	guanine nucleotide binding protein (G protein), q polypeptide	G-ALPHA-q|GAQ	9q21	NM_002072	gene with protein product	8825633	ENSG00000156052
HGNC:37364	VN1R44P	vomeronasal 1 receptor 44 pseudogene	NA	7	NG_015713	pseudogene	NA	NA
HGNC:21683	NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D	NAPE-PLD|C7orf18|FMP30	7q22.1	NM_001122838	gene with protein product	14634025, 15820312, 18067139	ENSG00000161048
HGNC:7493	MT-TN	mitochondrially encoded tRNA asparagine	trnN	mitochondria	NA	RNA, transfer	NA	NA
HGNC:25452	TMEM55A	transmembrane protein 55A	DKFZp762O076	8q21.3	NM_018710	gene with protein product	12477932	ENSG00000155099
HGNC:17085	EXOC6B	exocyst complex component 6B	KIAA0919	2p13.2	NM_015189	gene with protein product	10231032, 11406615	ENSG00000144036
HGNC:28972	ZC3H3	zinc finger CCCH-type containing 3	KIAA0150	8q24.3	NM_015117	gene with protein product	8590280	ENSG00000014164
HGNC:18386	SFTA2	surfactant associated 2	NA	6p21.3	NM_205854	gene with protein product	NA	ENSG00000230072
HGNC:3220	EFMR	epilepsy, female restricted, with mental retardation (Juberg-Hellman syndrome)	NA	Xq21-q25	NA	phenotype only	5116697	NA
HGNC:21301	C6orf136	chromosome 6 open reading frame 136	Em:AB023049.8	6p21.32	NM_001109938	gene with protein product	NA	ENSG00000204564
HGNC:18630	RPS3AP6	ribosomal protein S3A pseudogene 6	NA	15q21.3	NG_004861	pseudogene	19123937	NA
HGNC:8296	OR4E1	olfactory receptor, family 4, subfamily E, member 1 (gene/pseudogene)	NA	14	NG_001332	gene with protein product	NA	NA
HGNC:18004	THA1P	threonine aldolase 1, pseudogene	GLY1	17q25.3	NG_009023	pseudogene	15757516	ENSG00000237627
HGNC:33482	MEX3A	mex-3 homolog A (C. elegans)	NA	1q22	NM_001093725	gene with protein product	17267406	ENSG00000203759
HGNC:4036	FYB	FYN binding protein	FYB-120/130|SLAP-130	5p13.1	NM_001465	gene with protein product	9115214, 9207119	ENSG00000082074
HGNC:689	ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	HHARI|UBCH7BP|HARI|ARI	15q24	NM_005744	gene with protein product	10521492	ENSG00000166233
HGNC:5826	IGKV3D-25	immunoglobulin kappa variable 3D-25 pseudogene	NA	2p11.2	NG_000833	immunoglobulin pseudogene	NA	ENSG00000236293
HGNC:2932	DMP1	dentin matrix acidic phosphoprotein 1	NA	4q21	NM_001079911	gene with protein product	8586437, 9177774	ENSG00000152592
HGNC:13017	ZNF224	zinc finger protein 224	KOX22|BMZF-2	19q13.2	NM_013398	gene with protein product	NA	ENSG00000186019
HGNC:36769	RPL5P15	ribosomal protein L5 pseudogene 15	NA	5q13	NG_011262	pseudogene	19123937	NA
HGNC:18713	GLCCI1	glucocorticoid induced transcript 1	GIG18|TSSN1|FAM117C	7p22.2	NM_138426	gene with protein product	NA	ENSG00000106415
HGNC:15236	OR52T1P	olfactory receptor, family 52, subfamily T, member 1 pseudogene	NA	11	NG_004218	pseudogene	NA	ENSG00000233646
HGNC:11424	STRN	striatin, calmodulin binding protein	SG2NA	2p22.2	NM_003162	gene with protein product	9693043, 8769426	ENSG00000115808
HGNC:23603	KRTAP5-8	keratin associated protein 5-8	KRTAP5.8|KRTAP5-2|UHSKerB	11q13.4	NM_021046	gene with protein product	15144888	ENSG00000241233
HGNC:25198	SLC25A46	solute carrier family 25, member 46	NA	5q22.1	NM_138773	gene with protein product	1651562, 1651563, 16949250	ENSG00000164209
HGNC:14897	ITPKC	inositol 1,4,5-trisphosphate 3-kinase C	IP3KC|IP3-3KC	19q13.1	NM_025194	gene with protein product	11085927	ENSG00000086544
HGNC:28383	HORMAD2	HORMA domain containing 2	MGC26710	22q12.2	NM_152510	gene with protein product	12477932	ENSG00000176635
HGNC:34531	EFCAB10	EF-hand calcium binding domain 10	NA	7q22.2	NR_027068	gene with protein product	NA	ENSG00000185055
HGNC:36750	RPL12P18	ribosomal protein L12 pseudogene 18	NA	2p11.2	NG_010841	pseudogene	19123937	NA
HGNC:26164	NAA16	N(alpha)-acetyltransferase 16, NatA auxiliary subunit	MGC40612|PRO2435|FLJ22054	13q14.11	NM_001110798	gene with protein product	11483580, 19660095	ENSG00000172766
HGNC:10483	RYR1	ryanodine receptor 1 (skeletal)	RYR	19q13.1	NM_000540	gene with protein product	1862346, 16621918	ENSG00000196218
HGNC:10885	SIPA1	signal-induced proliferation-associated 1	SPA1	11q13.3	NM_006747	gene with protein product	9027487	ENSG00000213445
HGNC:7670	NCOA3	nuclear receptor coactivator 3	KAT13B|p/CIP|RAC3|SRC-3|bHLHe42|CAGH16|SRC3|AIB1|TRAM-1|TNRC16|ACTR	20q12	NM_001174087	gene with protein product	9252329, 9346901	ENSG00000124151
HGNC:24084	SHROOM1	shroom family member 1	APXL2|KIAA1960	5q31.1	NM_001172700	gene with protein product	11853319, 16615870	ENSG00000164403
HGNC:19118	TNIP2	TNFAIP3 interacting protein 2	ABIN-2|KLIP|FLIP1|MGC4289	4p16.3	NM_001161527	gene with protein product	11390377, 12933576	ENSG00000168884
HGNC:11804	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	TIAR	10q	NM_001033925	gene with protein product	1326761	ENSG00000151923
HGNC:4516	GPR64	G protein-coupled receptor 64	HE6|EDDM6|TM7LN2	Xp22.13	NM_001079858	gene with protein product	9739419, 9150425	ENSG00000173698
HGNC:29441	KIF18A	kinesin family member 18A	DKFZP434G2226	11p14.1	NM_031217	gene with protein product	11230166	ENSG00000121621
HGNC:1622	CCT7	chaperonin containing TCP1, subunit 7 (eta)	Nip7-1|Ccth	2p13.2	NM_001009570	gene with protein product	9819444	ENSG00000135624
HGNC:30158	PSME2P5	proteasome activator subunit 2 pseudogene 5	NA	8p21	NG_002630	pseudogene	NA	NA
HGNC:32377	GOLGA8E	golgin A8 family, member E	NA	15q11.2	NM_001012423	pseudogene	12477932	ENSG00000175676
HGNC:8121	OFC2	orofacial cleft 2	NA	2p14-p13	NA	phenotype only	9676424	NA
HGNC:29204	CCDC23	coiled-coil domain containing 23	MGC45441	1p34.2	NM_199342	gene with protein product	NA	ENSG00000177868
HGNC:13523	CLEC4M	C-type lectin domain family 4, member M	DCSIGNR|HP10347|DC-SIGNR|LSIGN|DC-SIGN2	19p13	NM_001144904	gene with protein product	10072769	ENSG00000104938
HGNC:15455	MBTPS2	membrane-bound transcription factor peptidase, site 2	S2P	Xp22.12-p22.11	NM_015884	gene with protein product	9847074, 9659902	ENSG00000012174
HGNC:25967	SIDT1	SID1 transmembrane family, member 1	SID-1|FLJ20174	3q13.31	NM_017699	gene with protein product	NA	ENSG00000072858
HGNC:10003	RGS7	regulator of G-protein signaling 7	NA	1q43	NM_002924	gene with protein product	8548815	ENSG00000182901
HGNC:2085	CLPS	colipase, pancreatic	NA	6pter-p21.1	NM_001832	gene with protein product	2045105	ENSG00000137392
HGNC:3875	FRA1H	fragile site, 5-azacytidine type, common, fra(1)(q42)	NA	1q42.1	NA	fragile site	9763679	NA
HGNC:28818	C8orf39	chromosome 8 open reading frame 39	PRO1905	8q22.1	NR_027259	gene with protein product	NA	ENSG00000212998
HGNC:8259	OR2J1	olfactory receptor, family 2, subfamily J, member 1	OR6-5|hs6M1-4|dJ80I19.2	6p22.2-p21.31	NG_004683	gene with protein product	NA	ENSG00000226192
HGNC:7480	MTTER	mitochondrially encoded transcription terminator	NA	mitochondria	NA	region	NA	NA
HGNC:17218	ZNF355P	zinc finger protein 355 (pseudogene)	PRED65	21q11.2	NA	pseudogene	NA	ENSG00000168122
HGNC:9204	PON1	paraoxonase 1	ESA	7q21.3	NM_000446	gene with protein product	8661009, 15450851	ENSG00000005421
HGNC:30664	CLPB	ClpB caseinolytic peptidase B homolog (E. coli)	HSP78|FLJ13152|SKD3	11q13.4	NM_030813	gene with protein product	11230166, 7835694	ENSG00000162129
HGNC:16104	TP53INP2	tumor protein p53 inducible nuclear protein 2	PINH|dJ1181N3.1|DKFZp434O0827|DOR|DKFZp434B2411|FLJ23500|FLJ21759	20q11.22	NM_021202	gene with protein product	12477932	ENSG00000078804
HGNC:3508	EWSR1	Ewing sarcoma breakpoint region 1	EWS	22q12.2	NM_001163285	gene with protein product	1522903	ENSG00000182944
HGNC:18323	HCG14	HLA complex group 14	dJ111M5.4	6p21	NA	gene with protein product	NA	ENSG00000236835
HGNC:12867	ZKSCAN5	zinc finger with KRAB and SCAN domains 5	NA	7q22	NM_014569	gene with protein product	10585779	ENSG00000196652
HGNC:10648	AIMP1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	p43|EMAPII|EMAP-2	4q24	NM_001142415	gene with protein product	7929199, 7545917	ENSG00000164022
HGNC:30038	PLA2G4D	phospholipase A2, group IVD (cytosolic)	cPLA2delta	15q14	NM_178034	gene with protein product	14709560	ENSG00000159337
